name,glass,metal,paper,plastic,plastic-bag,barcode
농협)국산콩100검은콩두유190ml24입,,,1,1,,
농협)청정제주냉동삼겹살300g,,,,1,,
농협)대석자두450g ,,,,1,,
농협)세척사과1입,,,,,1,
농협)그시절냉동삼겹살300G,,,,1,,
농협)국산대패삼겹살300g,,,,1,,
농협)신선란(대란/10구),,,1,,,
농협)신선란(대란/15구),,,1,,,
농협)양파2입망,,,,,1,
농협)수미감자700g,,,,,1,
농협)대추방울토마토(500g/팩),,,,1,,
농협)방울토마토(200g/팩),,,,1,,
아임이)하루e한컵우유1000ml,,,1,,,
아임이)빅맨요구르트280ml,,,,1,,
아임이)콜드브루아메리카노500ml,,,,1,,
아임이)해바라기씨초코볼,,,,,1,
아임이)커피빈초코볼,,,,,1,
아임이)코코넛쿠키400g(S),,,,1,,
아임이)초코칩쿠키400g(S),,,,1,,
아임이)칠리크랩새우칩95g,,,,,1,
아임이)자색고구마웨이퍼롤115g(S),,,1,,1,
아임이)빠다팝콘100g,,,,,1,
아임이)고소한보리건빵140g,,,,,1,
아임이)짬짜맛과자80g,,,1,,1,
아임이)아임이스낵4번들(P),,,,,1,
아임이)다크초콜릿100g(S),,,1,,,
아임이)밀크초콜릿100g(S),,,1,,,
아임이)달콤한딸기웨하스미니165g,,,,,1,
아임이)달콤한바닐라웨하스미니165g,,,,,1,
아임이)에그에그우유쿠키70g,,,,,1,
아임이)보라보라초코쿠키70g,,,,,1,
아임이)핑크핑크치즈쿠키70g,,,,,1,
아임이)바닐라향웨이퍼롤115g(S),,,1,,1,0
아임이)초코웨이퍼롤115g(S),,,1,,1,
아임이)인절미스낵145g,,,,,1,
아임이)이천쌀로만든미니약과500g(중),,,,,1,
아임이)왕소라형과자190g ,,,,,1,
아임이)고구마형과자180g,,,,,1,
아임이)계란과자190g,,,,,1,
아임이)자색고구마칩110g(S),,1,,1,,
아임이)라면스낵250g10입(S),,,,,1,
아임이)왕갈비맛통닭스낵80g,,,,,1,
아임이)꿀깨맛고구마칩120g,,,,,1,
아임이)신당동원조쌀떡볶이스낵208g,,,,,1,
아임이)핫베이컨칩130g,,,,,1,
아임이)나쵸큐브콤보95g(치즈소스),,,1,1,1,
아임이)카페하바나콘칩122g,,,,,1,
아임이)고르곤졸라소프트콘&까망베르치즈145g,,,,,1,
아임이)체다치즈볼142g,,,,,1,
아임이)흑당팝콘75g(컵타입),,,1,,,
아임이)고구마무스맛팝콘120g,,,,,1,
아임이)더블치즈팝콘85g,,,,,1,
아임이)땅콩카라멜콘130g,,,,,1,
아임이)감자칩사워크림어니언110g(S),,1,,1,,
아임이)감자칩오리지널110g(S),,1,,1,,
아임이)감자칩김와사비향110g(S),,1,,1,,
아임이)담백한통감자120g,,,,,,
아임이)해장의신속풀라면,,,,,1,
아임이)감동의신속찬라면,,,,,1,
아임이)아임이 속풀라면봉지*4입,,,,,1,
아임이)속풀라면봉지,,,,,1,
아임이)초코링시리얼570g,,,,,1,
아임이)크랜베리아몬드믹스시리얼630g,,,,,1,
아임이)치즈가맛있는치즈스틱500G,,,,,1,
아임이)개운한부대찌개라면,,,1,1,,
아임이)얼큰한짬뽕라면,,,1,1,,
아임이)아임이비엔나소시지450g,,,,,1,
아임이)아임이프랑크소시지450g,,,,,1,
아임이)콘샐러드150g,,,,1,,
아임이)고구마샐러드150g,,,,1,,
아임이)단호박샐러드150g,,,,1,,
아임이)레드크랩150g,,,,,1,
아임이)무흠집수세미3입,,,,,1,
아임이)망사수세미3입,,,,,1,
아임이)철수세미3입,,,,,1,
아임이)극세사행주2입,,,,,1,
아임이)때타월3입,,,,,1,
아임이)샤워타월2입,,,,,1,
아임이)고무장갑(소),,,,,1,
아임이)고무장갑(중),,,,,1,
아임이)고무장갑(대),,,,,1,
아임이)위생랩30cmX50m,,,1,,,
아임이)지퍼백(대)15매,,,1,,,
아임이)지퍼백(중)15매,,,1,,,
아임이)위생백(중)100매,,,1,,,
아임이)위생백(소)150매,,,1,,,
아임이)위생장갑50매,,,1,,,
아임이)일자형치간칫솔0.7mm(26입),,,,1,,
아임이)손걸레청소포50매(캡형),,,,1,1,
아임이)순한베이비물티슈50매(캡형),,,,1,1,
아임이)빨아쓰는행주티슈10매(캡형),,,,1,1,
아임이)향기로운비데티슈20매(캡형),,,,1,1,
아임이)팩으로클렌징티슈20매(캡형),,,,1,1,
아임이)휴대용티슈70매,,,,,1,
아임이)깨끗한물티슈100매,,,,,1,
아임이)베이비물티슈100매,,,,1,1,
아임이)미용티슈200매(6입),,,1,,,
아임이)하이드로콜로이드밴드(5입),,,1,,,
아임이)커버밴드(103입),,,1,,,
아임이)자연순면라이너(롱)36P,,,1,,,
아임이)자연순면중형16P,,,1,,,
아임이)휴대용미니물티슈10매,,,,,1,
민생)복숭아에이드230ml,,,,,1,
민생)옛날옥수수수염차500ml,,,,1,,
민생)옛날보리차500ml,,,,1,,
e)민생유기농순면5입(중),,,,,1,
e)민생유기농순면16입(중),,,,,1,
민생)아메리카노블랙230ml,,,,,1,
민생)아메리카노스위트230ml,,,,,1,
민생하루e만큼비타투게더900ml,,,,1,,
민생쓴커피500ml,,,,1,,
민생단커피500ml,,,,1,,
민생감자칩사워크림&어니언45g,,1,,1,,
민생라면컵,,,,,1,
민생라면봉지*5입,,,,,1,
민생라면봉지,,,,,1,
민생도시락김5g*16봉,,,,1,1,
